DATE,LNS15000000
1975-01-01,58964.333333333333
1975-04-01,59088.000000000000
1975-07-01,59450.666666666667
1975-10-01,60027.666666666667
1976-01-01,60026.000000000000
1976-04-01,59947.666666666667
1976-07-01,59901.000000000000
1976-10-01,60120.000000000000
1977-01-01,60208.000000000000
1977-04-01,59956.333333333333
1977-07-01,60185.666666666667
1977-10-01,59846.333333333333
1978-01-01,59894.666666666667
1978-04-01,59578.333333333333
1978-07-01,59696.666666666667
1978-10-01,59540.333333333333
1979-01-01,59373.666666666667
1979-04-01,60120.000000000000
1979-07-01,59990.333333333333
1979-10-01,60131.333333333333
1980-01-01,60195.333333333333
1980-04-01,60649.000000000000
1980-07-01,60990.000000000000
1980-10-01,61252.000000000000
1981-01-01,61005.333333333333
1981-04-01,60989.666666666667
1981-07-01,61887.666666666667
1981-10-01,61933.000000000000
1982-01-01,62122.666666666667
1982-04-01,61902.666666666667
1982-07-01,61996.000000000000
1982-10-01,62087.000000000000
1983-01-01,62866.333333333333
1983-04-01,62789.666666666667
1983-07-01,62354.333333333333
1983-10-01,62790.000000000000
1984-01-01,63166.333333333333
1984-04-01,62604.000000000000
1984-07-01,62758.333333333333
1984-10-01,62875.666666666667
1985-01-01,62546.000000000000
1985-04-01,62769.666666666667
1985-07-01,62908.000000000000
1985-10-01,62729.333333333333
1986-01-01,62897.333333333333
1986-04-01,62678.000000000000
1986-07-01,62611.000000000000
1986-10-01,62778.333333333333
1987-01-01,62922.333333333333
1987-04-01,62864.000000000000
1987-07-01,62939.000000000000
1987-10-01,62874.333333333333
1988-01-01,62954.666666666667
1988-04-01,63124.333333333333
1988-07-01,62923.666666666667
1988-10-01,62765.000000000000
1989-01-01,62522.000000000000
1989-04-01,62500.000000000000
1989-07-01,62576.666666666667
1989-10-01,62569.333333333333
1990-01-01,62738.333333333333
1990-04-01,63211.333333333333
1990-07-01,63481.333333333333
1990-10-01,63797.333333333333
1991-01-01,64200.666666666667
1991-04-01,64304.000000000000
1991-07-01,64803.333333333333
1991-10-01,64981.666666666667
1992-01-01,64717.333333333333
1992-04-01,64367.000000000000
1992-07-01,64465.333333333333
1992-10-01,65275.333333333333
1993-01-01,65620.666666666667
1993-04-01,65469.000000000000
1993-07-01,65640.000000000000
1993-10-01,65879.333333333333
1994-01-01,65530.333333333333
1994-04-01,65868.333333333333
1994-07-01,65934.000000000000
1994-10-01,65738.666666666667
1995-01-01,65794.666666666667
1995-04-01,66165.666666666667
1995-07-01,66377.000000000000
1995-10-01,66738.000000000000
1996-01-01,66859.666666666667
1996-04-01,66688.333333333333
1996-07-01,66565.333333333333
1996-10-01,66443.666666666667
1997-01-01,66813.000000000000
1997-04-01,66720.000000000000
1997-07-01,66776.666666666667
1997-10-01,67019.000000000000
1998-01-01,67247.333333333333
1998-04-01,67579.333333333333
1998-07-01,67668.333333333333
1998-10-01,67666.000000000000
1999-01-01,67975.666666666667
1999-04-01,68300.333333333333
1999-07-01,68547.000000000000
1999-10-01,68669.333333333333
2000-01-01,69200.000000000000
2000-04-01,69665.333333333333
2000-07-01,70481.333333333333
2000-10-01,70616.333333333333
2001-01-01,70292.666666666667
2001-04-01,71320.666666666667
2001-07-01,71779.333333333333
2001-10-01,71901.000000000000
2002-01-01,72325.333333333333
2002-04-01,72380.333333333333
2002-07-01,72745.666666666667
2002-10-01,73403.000000000000
2003-01-01,74090.000000000000
2003-04-01,74097.333333333333
2003-07-01,75026.000000000000
2003-10-01,75461.333333333333
2004-01-01,75524.333333333333
2004-04-01,75848.333333333333
2004-07-01,76123.000000000000
2004-10-01,76413.000000000000
2005-01-01,76777.000000000000
2005-04-01,76532.000000000000
2005-07-01,76700.666666666667
2005-10-01,77163.333333333333
2006-01-01,77207.333333333333
2006-04-01,77331.333333333333
2006-07-01,77581.000000000000
2006-10-01,77503.000000000000
2007-01-01,77779.666666666667
2007-04-01,78766.333333333333
2007-07-01,79137.333333333333
2007-10-01,79291.666666666667
2008-01-01,78932.333333333333
2008-04-01,79281.666666666667
2008-07-01,79550.333333333333
2008-10-01,80101.666666666667
2009-01-01,80618.666666666667
2009-04-01,80801.666666666667
2009-07-01,81880.666666666667
2009-10-01,83148.000000000000
2010-01-01,83286.333333333333
2010-04-01,83397.000000000000
2010-07-01,84186.666666666667
2010-10-01,84908.333333333333
2011-01-01,85567.000000000000
2011-04-01,85860.333333333333
2011-07-01,86144.666666666667
2011-10-01,86403.000000000000
2012-01-01,87836.000000000000
2012-04-01,88137.333333333333
2012-07-01,88607.000000000000
2012-10-01,88662.333333333333
2013-01-01,89468.666666666667
2013-04-01,89803.333333333333
2013-07-01,90330.666666666667
2013-10-01,91524.333333333333
2014-01-01,91465.333333333333
2014-04-01,92038.333333333333
2014-07-01,92173.666666666667
2014-10-01,92428.333333333333
2015-01-01,93129.000000000000
2015-04-01,93203.333333333333
2015-07-01,94132.000000000000
2015-10-01,94186.333333333333
2016-01-01,93881.000000000000
2016-04-01,94216.000000000000
2016-07-01,94365.000000000000
2016-10-01,94938.000000000000
2017-01-01,94389.000000000000
2017-04-01,94529.666666666667
2017-07-01,94618.666666666667
2017-10-01,95507.333333333333
2018-01-01,95430.333333333333
2018-04-01,95451.666666666667
2018-07-01,96054.333333333333
2018-10-01,95934.333333333333
2019-01-01,95353.000000000000
2019-04-01,95987.000000000000
2019-07-01,95630.000000000000
2019-10-01,95580.666666666667
2020-01-01,95754.666666666667
2020-04-01,101890.666666666667
2020-07-01,100230.666666666667
2020-10-01,100472.666666666667
2021-01-01,.
